nb_A,nb_W,nb_A_W
18733,1623,20349
20843,2058,22864
14535,1361,15859
10773,1271,12031
12905,991,13863
17247,1138,18384
13712,1117,14826
20090,2269,22318
14954,1283,16200
13347,1324,14652
12890,1131,13994
15280,1033,16307
13851,1202,15030
21697,2405,24090
19238,1947,21181
13318,1744,15035
13735,1398,15129
15098,1724,16793
12796,1477,14243
12294,1101,13339
18998,1540,20518
13147,1372,14493
50080,6479,56495
48526,15594,64113
16949,8221,25130
19073,3076,22149
20479,2433,22861
17982,2665,20616
12414,1298,13670
13637,1023,14631
10893,1108,11969
12209,1195,13361
14316,1433,15743
24019,3026,27003
14529,1517,16025
13001,1385,14374
13887,1779,15600
13881,1943,15819
10271,1386,11625
33588,1962,35546
59405,6497,65902
17970,1264,19202
15619,1449,17044
15655,1491,17143
12708,1178,13850
16851,1896,18706
12511,1225,13712
11148,1281,12413
8975,934,9887
11923,1272,13183
19175,1266,20402
12100,1245,13324
18187,1614,19799
12105,1647,13734
17292,1264,18554
29157,1611,30766
17044,1184,18201
13237,1266,14476
23359,1924,25270
11847,1249,13067
12720,1676,14355
10530,1039,11524
13076,1462,14491
23874,1890,25748
22636,1924,24551
16437,1887,18313
18321,2642,20958
11547,1445,12979
13198,1659,14843
12864,1356,14173
13760,2365,16071
20920,2889,23809
14065,2207,16207
17313,1443,18740
17789,1803,19537
11403,1233,12600
15916,1555,17428
18311,1620,19929
13719,1489,15174
12182,1440,13619
13309,1735,15006
15202,1939,17031
15352,1478,16762
12070,1236,13258
28370,1932,30277
20521,1788,22309
19735,1367,21096
18679,1664,20323
23108,2441,25500
14390,1292,15670
22896,2326,25170
16307,1670,17944
18362,1316,19659
15209,1254,16398
31787,1592,33218
13815,1471,15253
20453,2006,22458
14017,1249,15259
13590,1466,15023
14236,1472,15706
19639,1506,21142
14122,1767,15879
13883,1212,15035
33554,2197,35749
17974,1785,19728
14357,1641,15990
12779,1258,14001
13719,1147,14809
14361,1319,15631
19610,2284,21864
15642,1619,17239
16904,1193,18073
13279,1308,14575
19735,1213,20911
18010,2176,20152
21669,1796,23461
26209,2191,28363
15739,1573,17309
13405,1707,15090
11394,1339,12715
9688,1179,10747
10768,1127,11892
17875,1703,19563
12418,1239,13636
10811,1115,11920
8568,980,9540
11963,1240,13141
12680,1245,13922
23839,2205,25999
18127,1832,19922
40908,3004,43855
15105,1482,16582
17546,1431,18964
18072,1942,19981
18409,1901,20302
23041,2128,25168
16404,1801,18156
15426,1710,17104
12653,1345,13966
13879,1511,15379
13165,1410,14563
21307,2131,23407
12875,1221,14085
13307,1047,14353
10566,1018,11530
18413,1425,19803
13470,1627,15061
28873,3289,32082
15726,2681,18394
14835,1627,16417
11680,1241,12879
16171,1304,17432
11067,1223,12247
13576,1584,15127
28124,2916,31019
21785,1637,23363
19960,1733,21682
