nb_A,nb_W,nb_A_W,nb_A_ma,nb_W_ma
243.0,12.0,255.0,243.0,12.0
971.0,97.0,1068.0,607.0,54.5
2027.0,152.0,2179.0,1080.33,87.0
995.0,54.0,1049.0,1059.0,78.75
991.0,42.0,1033.0,1045.4,71.4
2377.0,88.0,2465.0,1267.33,74.17
1874.0,118.0,1992.0,1354.0,80.43
3032.0,340.0,3372.0,1563.75,112.88
2142.0,42.0,2184.0,1628.0,105.0
3003.0,316.0,3319.0,1765.5,126.1
1695.0,76.0,1771.0,1910.7,132.5
1959.0,118.0,2077.0,2009.5,134.6
2244.0,161.0,2405.0,2031.2,135.5
1620.0,114.0,1734.0,2093.7,141.5
2285.0,158.0,2443.0,2223.1,153.1
3033.0,187.0,3220.0,2288.7,163.0
627.0,50.0,677.0,627.0,50.0
1530.0,120.0,1650.0,1078.5,85.0
1304.0,86.0,1390.0,1153.67,85.33
1548.0,164.0,1712.0,1252.25,105.0
2127.0,264.0,2391.0,1427.2,136.8
2497.0,158.0,2655.0,1605.5,140.33
2954.0,520.0,3474.0,1798.14,194.57
2729.0,170.0,2899.0,1914.5,191.5
2071.0,214.0,2285.0,1931.89,194.0
2490.0,244.0,2734.0,1987.7,199.0
2533.0,279.0,2812.0,2178.3,221.9
2343.0,155.0,2498.0,2259.6,225.4
2454.0,139.0,2593.0,2374.6,230.7
2183.0,173.0,2356.0,2438.1,231.6
3136.0,237.0,3373.0,2539.0,228.9
