nb_A,nb_W,nb_A_W
19533.0,1982.0,21515.0
21767.0,1657.0,23418.5
23846.67,1540.0,25369.0
23478.25,1595.0,25048.0
22389.2,1572.6,23940.8
22004.5,1547.0,23522.67
21668.71,1611.14,23254.71
21313.75,1699.25,22989.12
21612.44,1785.78,23375.22
21902.9,1801.0,23682.5
21828.36,1784.45,23593.36
23139.58,1971.08,25077.5
23879.23,2033.23,25881.69
24936.93,2103.71,27009.64
25103.67,2108.67,27182.87
25031.06,2059.56,27062.31
24952.76,2031.12,26957.18
24885.56,2022.72,26882.78
26090.68,2043.58,28108.68
25904.65,2043.3,27923.5
25785.6,2058.2,27817.95
25579.35,2079.6,27633.6
26090.65,2109.2,28175.85
26016.2,2101.4,28095.4
26118.1,2120.3,28215.55
26213.85,2159.6,28353.65
26514.45,2149.55,28642.6
26981.2,2131.8,29090.05
26926.75,2098.1,29002.7
26895.6,2100.0,28972.65
27512.45,2103.5,29592.5
26664.0,1976.15,28625.8
26130.9,1923.45,28039.95
25249.65,1854.1,27090.0
24934.65,1819.6,26740.4
24890.6,1832.3,26709.55
24888.05,1907.75,26781.4
24636.25,1948.65,26570.7
23213.35,1922.85,25123.35
23043.45,1930.1,24958.45
23332.55,1912.9,25231.7
25334.1,1894.8,27180.3
25196.65,1876.05,27022.85
25438.2,1872.7,27259.95
25980.6,1877.25,27806.5
26128.3,1884.8,27962.1
26021.2,1898.7,27870.65
25690.7,1879.3,27520.9
25703.1,1875.8,27528.2
26053.3,1853.35,27854.85
25667.25,1868.45,27483.8
25643.4,1879.05,27470.5
25323.0,1865.05,27136.25
25125.5,1863.2,26937.95
25040.35,1873.75,26863.85
25087.95,1880.15,26917.6
24772.25,1812.6,26535.45
24717.55,1763.75,26431.45
24589.1,1753.1,26291.3
24466.0,1733.65,26151.1
24342.5,1723.0,26017.0
22121.85,1729.85,23838.1
21311.15,1730.0,23029.5
21113.65,1751.1,22854.15
20604.45,1744.9,22339.95
20298.4,1699.3,21988.25
19912.0,1670.5,21573.05
19637.25,1659.6,21288.45
19458.25,1642.7,21093.8
19079.65,1653.9,20728.5
18953.25,1650.65,20595.6
19194.75,1659.45,20845.6
21103.2,1872.4,22963.05
21743.45,1864.25,23593.05
21586.15,1860.0,23429.85
21283.15,1851.15,23117.4
21486.2,1857.95,23326.25
21635.9,1858.65,23477.15
21824.7,1857.6,23665.7
22370.15,1866.5,24219.65
23359.6,1889.0,25230.5
23697.2,1906.45,25584.6
23663.1,1910.75,25554.85
23499.85,1896.55,25376.8
23273.35,1883.05,25135.65
23187.75,1882.4,25048.85
23567.3,1910.15,25455.6
23542.55,1919.1,25436.1
23494.9,1932.65,25401.3
23199.45,1921.3,25093.65
23355.55,1914.05,25246.05
22913.55,1905.8,24795.9
20957.45,1690.15,22625.6
20323.5,1707.2,22010.5
20271.1,1710.5,21961.35
20457.2,1712.05,22148.7
20499.0,1712.9,22186.0
20623.1,1715.2,22312.2
20549.3,1729.4,22251.8
21427.25,1859.75,23253.15
22382.2,2020.3,24367.25
23020.3,2305.4,25287.05
23343.45,2471.9,25775.45
26822.6,2786.9,29528.4
29356.5,2939.3,32202.6
30555.25,3043.2,33504.8
32540.8,3213.15,35659.6
35318.8,3469.1,38695.4
35645.2,3462.25,39012.4
35616.3,3453.6,38973.0
35902.15,3447.3,39250.95
35990.4,3470.35,39362.3
36124.4,3494.3,39522.65
36913.6,3503.65,40321.5
37653.4,3544.55,41103.75
37729.65,3587.7,41224.3
37841.6,3603.45,41357.85
38424.7,3604.35,41941.3
38765.15,3606.65,42274.95
41087.0,3448.7,44445.6
40084.7,3238.6,43235.4
39755.65,2926.45,42598.55
39384.95,2760.8,42063.45
36369.0,2470.2,38799.25
34202.35,2361.75,36537.4
33345.35,2295.75,35615.45
31144.55,2101.8,33221.9
28980.35,1860.5,30818.3
29158.85,1866.9,31006.7
29415.8,1867.2,31265.5
30545.9,1855.4,32385.7
30736.25,1837.4,32558.25
31544.65,1974.5,33492.7
31367.05,1951.6,33292.0
31415.15,1911.9,33300.55
31579.9,1855.3,33407.95
31454.75,1808.4,33236.4
30932.4,1810.1,32716.45
30946.35,1795.95,32726.4
27438.25,1806.8,29229.8
26454.15,1830.35,28269.55
27193.95,1875.65,29054.65
27664.7,1889.75,29539.5
27515.85,1863.35,29364.3
27919.9,1855.2,29760.15
27895.5,1820.7,29701.25
28024.85,1853.25,29862.6
28008.75,1850.1,29837.9
27644.4,1870.1,29492.85
27461.9,1880.5,29322.05
25564.35,1901.15,27445.15
25594.75,1891.3,27465.75
24793.0,1748.0,26531.85
24203.5,1759.4,25953.95
23686.4,1745.65,25423.05
23462.5,1755.8,25210.0
23403.05,1808.7,25203.4
23246.65,1824.25,25062.55
22842.8,1836.05,24670.5
22761.85,1827.05,24579.9
22914.2,1824.7,24729.9
21719.15,1794.6,23504.75
21654.9,1827.7,23473.55
21729.2,1859.35,23579.5
21704.25,1937.15,23632.45
24183.65,2004.05,26178.75
24872.3,1980.25,26844.2
25264.25,1967.25,27229.65
25173.2,1934.7,27106.8
25169.5,1941.05,27109.35
25866.85,1958.0,27823.4
25911.15,1972.1,27881.85
26043.1,1969.15,28010.85
27471.0,1997.5,29467.0
28338.25,2090.25,30426.95
28233.0,2093.95,30325.15
28031.8,2064.75,30094.75
27941.6,2121.7,30061.5
29230.95,2109.1,31338.2
30028.7,2158.4,32185.85
30292.8,2187.4,32478.9
30351.0,2202.95,32549.85
30116.95,2169.65,32282.3
29711.45,2152.9,31857.35
30059.85,2046.75,32090.4
29925.75,2050.2,31959.75
31204.6,2045.6,33231.85
33144.9,2210.35,35334.3
33618.3,2210.9,35808.25
33638.85,2202.7,35819.95
33146.2,2182.4,35306.15
32945.55,2159.0,35081.4
33495.15,2156.85,35521.85
35289.9,2283.15,37442.0
34884.35,2208.85,36961.75
35193.6,2215.95,37275.8
35372.25,2207.95,37443.5
35412.55,2118.5,37394.0
34165.55,2111.15,36138.2
33372.25,2057.6,35291.35
33095.25,2027.6,34984.15
32937.75,1995.9,34794.5
33605.25,2003.55,35465.95
34618.7,2017.15,36495.1
33792.35,2030.4,35688.85
31332.25,1957.7,33152.45
29444.65,1962.15,31270.15
27206.65,1809.8,28881.95
26905.6,1823.15,28593.25
27022.2,1815.95,28702.5
26988.45,1820.45,28672.8
27367.2,1838.7,29070.5
27239.75,1832.25,29043.5
24235.25,1686.3,25891.7
23755.5,1699.0,25422.2
23313.5,1700.35,24981.9
23101.7,1703.3,24776.0
22938.6,1703.55,24612.05
23005.35,1706.2,24682.7
22865.35,1714.8,24546.05
23550.85,1745.65,25261.7
24325.9,1784.25,26078.6
24145.0,1826.8,25942.6
23463.65,1832.0,25266.75
23779.9,1856.0,25605.2
24128.7,1893.55,25985.8
25660.6,1925.15,27486.05
29295.55,1982.1,31178.05
31522.15,2039.85,33462.8
31871.4,2129.75,33902.0
32121.35,2197.5,34220.5
32630.3,2185.45,34715.95
32292.9,2204.05,34396.1
32117.55,2192.15,34211.0
35960.75,2169.5,38019.8
39078.0,2231.0,41200.85
40175.4,2254.05,42320.9
40503.85,2294.25,42688.3
40513.95,2322.35,42725.0
40617.65,2331.75,42839.4
39898.45,2310.9,42098.55
40263.7,2287.7,42439.55
40421.05,2270.65,42579.7
40391.0,2267.3,42545.75
40315.45,2261.85,42468.6
39958.25,2253.3,42111.7
38161.05,2212.35,40337.25
33966.8,2150.55,36078.45
31512.6,2095.0,33566.2
30986.8,2014.05,32960.3
31054.9,1971.45,32984.8
32507.15,2024.05,34477.6
32798.9,2015.55,34761.05
33042.1,2089.6,35077.8
29079.15,2091.6,31130.85
25973.2,2031.8,27961.35
25297.6,2007.5,27260.3
25681.4,1994.0,27633.35
25681.9,1968.6,27603.15
25612.4,1956.5,27525.0
25556.55,1974.2,27488.35
25037.3,1997.85,26991.15
24307.6,1942.8,26207.55
24539.8,1923.4,26380.2
25339.7,1898.3,27155.2
27526.5,2117.25,29539.9
29755.8,2180.2,31831.4
29888.3,2169.9,31952.05
30208.55,2152.95,32256.45
30320.35,2168.95,32380.4
29800.6,2129.85,31822.1
27461.2,2075.45,29414.6
28371.95,2103.4,30351.75
28553.9,2034.75,30464.8
29196.55,2068.25,31141.5
29553.8,2100.0,31530.15
29476.3,2141.7,31493.7
28945.85,2136.7,30955.8
28822.7,2148.35,30849.85
28785.75,2154.4,30819.5
28728.25,2130.85,30738.2
28281.45,2103.85,30264.15
28308.75,2126.3,30311.85
28289.45,2235.1,30442.1
27577.8,2254.65,29745.7
25216.2,2043.4,27192.25
23023.65,2007.75,24965.35
22969.75,2047.75,24950.95
24570.45,2065.4,26570.9
26340.8,2068.2,28342.45
26348.3,2072.25,28353.85
26895.7,2079.65,28934.9
25637.15,2057.45,27656.25
25229.1,2042.6,27233.1
24707.35,2016.9,26684.25
24539.0,1997.95,26500.65
24731.65,1976.05,26673.6
24695.15,1958.6,26621.05
24588.65,1934.85,26491.45
