nb_A,nb_W,nb_A_W
98716.7,5885.55,104602.25
98041.95,5857.75,103899.7
97844.1,5842.5,103686.6
98775.4,5834.8,104610.2
100177.2,6083.75,106260.95
97598.85,5823.95,103422.8
93950.9,5547.3,99498.2
85096.9,4932.2,90029.1
70825.9,3755.25,74581.15
60409.35,2678.9,63088.25
56135.9,2634.65,58770.55
44025.6,2588.95,46614.55
37512.4,2577.95,40090.35
34980.2,2747.85,37728.05
32750.05,2893.25,35643.3
31579.05,2632.4,34211.45
31349.75,2549.2,33898.95
30652.6,2525.55,33178.15
28959.8,2473.75,31433.55
27337.3,2200.25,29537.55
27042.35,2191.25,29233.6
28174.45,2219.65,30394.1
28338.4,2296.05,30634.45
27544.4,2388.85,29933.25
26401.25,2144.2,28545.45
26697.15,2193.2,28890.35
26810.95,2240.25,29051.2
26970.55,2248.0,29218.55
27348.45,2300.8,29649.25
28460.8,2578.3,31039.1
28299.95,2567.05,30867.0
28685.35,2561.65,31247.0
28418.4,2597.15,31015.55
28610.15,2438.55,31048.7
28445.05,2275.45,30720.5
28054.65,2266.3,30320.95
28172.65,2278.1,30450.75
27758.9,2252.0,30010.9
27440.55,2254.8,29695.35
29671.7,3066.95,32738.65
30602.5,3127.05,33729.55
29906.0,3712.6,33618.6
29569.85,3694.1,33263.95
29716.1,3662.75,33378.85
29920.75,3756.1,33676.85
30617.7,3828.85,34446.55
30803.9,3822.05,34625.95
30930.1,3869.2,34799.3
30505.9,3761.55,34267.45
28991.6,3467.75,32459.35
31628.95,3674.25,35303.2
31614.25,3707.1,35321.35
31631.1,3635.55,35266.65
31245.55,3639.95,34885.5
30943.5,3590.6,34534.1
30964.0,3607.8,34571.8
30765.3,3609.95,34375.25
31367.65,3594.25,34961.9
32121.1,3585.25,35706.35
31584.35,2798.0,34382.35
32138.65,2734.45,34873.1
33441.1,2092.3,35533.4
32922.7,2018.7,34941.4
32156.6,1927.2,34083.8
32066.5,1819.85,33886.35
31531.65,1702.8,33234.45
32107.65,1703.65,33811.3
32447.6,1736.65,34184.25
32296.15,1743.25,34039.4
32259.25,1747.55,34006.8
29784.3,1547.8,31332.1
29749.55,1554.35,31303.9
29978.5,1601.95,31580.45
31279.1,1594.15,32873.25
32259.75,1599.65,33859.4
32586.2,1646.55,34232.75
32548.3,1636.55,34184.85
32126.4,1659.7,33786.1
31559.55,1683.5,33243.05
30567.6,1687.7,32255.3
29376.75,1729.85,31106.6
27416.5,1760.2,29176.7
27619.2,1790.75,29409.95
27964.9,1828.65,29793.55
27627.5,1915.0,29542.5
27080.15,1985.15,29065.3
25968.55,1946.75,27915.3
25280.0,1869.45,27149.45
26089.25,1883.9,27973.15
26189.7,1899.5,28089.2
26456.85,1930.6,28387.45
26009.7,1884.85,27894.55
25705.6,1810.2,27515.8
24474.1,1818.2,26292.3
23326.8,1807.2,25134.0
22825.1,1740.25,24565.35
23143.85,1754.45,24898.3
23700.35,1751.5,25451.85
24085.5,1790.75,25876.25
23869.3,1811.8,25681.1
25360.75,1919.65,27280.4
26047.75,2035.4,28083.15
26239.35,2043.0,28282.35
26389.35,2030.4,28419.75
26117.3,1935.25,28052.55
26673.2,1894.05,28567.25
27284.6,1940.9,29225.5
27301.6,1949.05,29250.65
26397.05,1933.65,28330.7
26482.3,1979.75,28462.05
26305.6,1996.8,28302.4
26343.75,2037.45,28381.2
26498.9,2047.6,28546.5
26712.8,1998.5,28711.3
27539.0,2000.0,29539.0
27655.3,2018.55,29673.85
27266.45,2016.85,29283.3
26582.2,2002.75,28584.95
25914.05,1939.4,27853.45
26960.55,1939.35,28899.9
26308.9,1841.4,28150.3
25589.4,1726.7,27316.1
25023.45,1707.95,26731.4
26346.35,1863.3,28209.65
28565.45,1855.9,30421.35
