nb_A,nb_W,nb_A_W,nb_implicit_W,nb_dup_A,nb_dup_W,nb_A_prefix,nb_W_prefix,max_A_prefix,avg_A_prefix,max_A_AS,avg_A_AS,nb_new_A,nb_new_A_afterW
98716.7,5885.55,104602.25,42484,31401.9,35.35,5486.1,1436.55,1270.65,16.3,39767.65,126.15,22393.85,2436.95
98041.95,5857.75,103899.7,42153.55,31597.45,33.65,5758.2,1425.25,1274.4,15.7,39627.5,124.2,21861.5,2429.45
97844.1,5842.5,103686.6,42190.8,31769.25,33.2,6047.4,1423.45,1274.05,15.35,39637.75,121.65,21456.2,2427.85
98775.4,5834.8,104610.2,42949.8,31973.4,33.9,6197.7,1411.85,1274.1,15.3,39561.2,119.65,21428.05,2424.15
100177.2,6083.75,106260.95,43951.25,32233.15,34.3,6245.55,1446.15,1272.8,15.6,39530.85,120.05,21470.95,2521.85
97598.85,5823.95,103422.8,42189.25,31922.65,33.95,6152.85,1386.1,1264.65,15.2,39316.25,118.65,21045.6,2441.35
93950.9,5547.3,99498.2,41061.35,30796.5,30.5,6012.2,1337.15,1256.25,14.75,37566.05,116.35,19740,2353.05
85096.9,4932.2,90029.1,39422.55,27357.7,30.2,5688.95,1086,1240.7,14.5,31638.45,109.05,16118.15,2198.5
70825.9,3755.25,74581.15,34766.8,23042.4,31.15,5362.95,718.55,1235.6,13.45,22423.95,96.85,11279.85,1736.85
60409.35,2678.9,63088.25,29681.95,20206.6,21.4,5509.55,507.45,1232.3,12.3,16428.55,84.5,9263.15,1257.65
56135.9,2634.65,58770.55,27458.95,18820.05,20.5,5640,457.05,1240.75,11.65,13772.6,78.55,8600.75,1256.15
44025.6,2588.95,46614.55,22901.55,14910.7,18.4,5199.75,430.05,1245,10.9,7942.95,63.15,4956.5,1256.85
37512.4,2577.95,40090.35,20053,11853.15,17.9,4840.3,399.75,1270.4,11.15,4340.05,57.75,4365.35,1240.9
34980.2,2747.85,37728.05,19132.9,10574.25,17.55,4554.55,595,1278.2,11.4,3070.9,54.65,4048.65,1224.4
32750.05,2893.25,35643.3,17580.8,10222.95,18.15,4325.4,778.35,1275.95,11.5,3000.45,53.9,3767,1179.3
