,nb_A,nb_W,nb_A_W,nb_A_ma,nb_W_ma
1,56135.9,2634.65,58770.55,85885.64,4899.1
2,44025.6,2588.95,46614.55,80484.01,4572.23
3,37512.4,2577.95,40090.35,74450.84,4245.77
4,34980.2,2747.85,37728.05,68071.32,3937.08
5,32750.05,2893.25,35643.3,61328.6,3618.02
6,31579.05,2632.4,34211.45,54726.62,3298.87
7,31349.75,2549.2,33898.95,48466.51,2999.06
8,30652.6,2525.55,33178.15,43022.08,2758.4
9,28959.8,2473.75,31433.55,38835.47,2630.24
10,27337.3,2200.25,29537.55,35528.26,2582.38
11,27042.35,2191.25,29233.6,32618.91,2538.04
12,28174.45,2219.65,30394.1,31033.79,2501.11
13,28338.4,2296.05,30634.45,30116.4,2472.92
14,27544.4,2388.85,29933.25,29372.82,2437.02
15,26401.25,2144.2,28545.45,28737.94,2362.12
16,26697.15,2193.2,28890.35,28249.75,2318.2
17,26810.95,2240.25,29051.2,27795.86,2287.3
18,26970.55,2248.0,29218.55,27427.66,2259.54
19,27348.45,2300.8,29649.25,27266.52,2242.25
20,28460.8,2578.3,31039.1,27378.88,2280.05
21,28299.95,2567.05,30867.0,27504.64,2317.63
22,28685.35,2561.65,31247.0,27555.72,2351.84
23,28418.4,2597.15,31015.55,27563.72,2381.95
24,28610.15,2438.55,31048.7,27670.3,2386.92
25,28445.05,2275.45,30720.5,27874.68,2400.04
26,28054.65,2266.3,30320.95,28010.43,2407.35
27,28172.65,2278.1,30450.75,28146.6,2411.13
28,27758.9,2252.0,30010.9,28225.44,2411.54
29,27440.55,2254.8,29695.35,28234.64,2406.94
30,29671.7,3066.95,32738.65,28355.74,2455.8
31,30602.5,3127.05,33729.55,28585.99,2511.8
32,29906.0,3712.6,33618.6,28708.06,2626.9
33,29569.85,3694.1,33263.95,28823.2,2736.59
34,29716.1,3662.75,33378.85,28933.8,2859.01
35,29920.75,3756.1,33676.85,29081.36,3007.08
36,30617.7,3828.85,34446.55,29337.67,3163.33
37,30803.9,3822.05,34625.95,29600.8,3317.72
38,30930.1,3869.2,34799.3,29917.91,3479.45
39,30505.9,3761.55,34267.45,30224.45,3630.12
40,28991.6,3467.75,32459.35,30156.44,3670.2
41,31628.95,3674.25,35303.2,30259.08,3724.92
42,31614.25,3707.1,35321.35,30429.91,3724.37
43,31631.1,3635.55,35266.65,30636.03,3718.52
44,31245.55,3639.95,34885.5,30788.98,3716.23
45,30943.5,3590.6,34534.1,30891.26,3699.69
46,30964.0,3607.8,34571.8,30925.88,3677.58
47,30765.3,3609.95,34375.25,30922.02,3656.37
48,31367.65,3594.25,34961.9,30965.78,3628.88
49,32121.1,3585.25,35706.35,31127.3,3611.25
50,31584.35,2798.0,34382.35,31386.58,3544.27
51,32138.65,2734.45,34873.1,31437.54,3450.29
52,33441.1,2092.3,35533.4,31620.23,3288.81
53,32922.7,2018.7,34941.4,31749.39,3127.12
54,32156.6,1927.2,34083.8,31840.49,2955.85
55,32066.5,1819.85,33886.35,31952.79,2778.78
56,31531.65,1702.8,33234.45,32009.56,2588.28
57,32107.65,1703.65,33811.3,32143.8,2397.64
58,32447.6,1736.65,34184.25,32251.79,2211.89
59,32296.15,1743.25,34039.4,32269.3,2027.69
60,32259.25,1747.55,34006.8,32336.79,1922.64
61,29784.3,1547.8,31332.1,32101.35,1803.98
62,29749.55,1554.35,31303.9,31732.2,1750.18
