Timestamp,nb_A,nb_W,nb_A_W
2017-07-07 00:10:00,5763,169,5929
2017-07-07 00:10:30,2388,154,2412
2017-07-07 00:11:00,4700,160,4611
2017-07-07 00:11:30,6167,252,6410
2017-07-07 00:12:00,4031,226,4151
2017-07-07 00:12:30,3412,139,3496
2017-07-07 00:13:00,5629,119,5747
2017-07-07 00:13:30,3077,173,3199
2017-07-07 00:14:00,3149,290,3436
2017-07-07 00:14:30,6230,165,6286
2017-07-07 00:15:00,6057,164,6211
2017-07-07 00:15:30,3302,99,3395
2017-07-07 00:16:00,5028,117,5135
2017-07-07 00:16:30,5675,419,5861
2017-07-07 00:17:00,3842,356,4188
2017-07-07 00:17:30,6440,338,6738
2017-07-07 00:18:00,4068,219,4241
2017-07-07 00:18:30,3200,164,3314
2017-07-07 00:19:00,4982,117,5080
2017-07-07 00:19:30,1442,126,1558
2017-07-07 00:20:00,3354,216,3430
2017-07-07 00:20:30,3838,96,3700
2017-07-07 00:21:00,5412,269,5652
2017-07-07 00:21:30,1703,187,1882
2017-07-07 00:22:00,6391,249,6549
2017-07-07 00:22:30,5355,370,5723
2017-07-07 00:23:00,6957,393,7350
2017-07-07 00:23:30,2496,191,2683
2017-07-07 00:24:00,3177,260,3406
2017-07-07 00:24:30,3737,161,3867
2017-07-07 00:25:00,2998,240,3235
2017-07-07 00:25:30,1239,190,1422
2017-07-07 00:26:00,3163,223,3281
2017-07-07 00:26:30,3302,161,3435
2017-07-07 00:27:00,19722,217,19810
2017-07-07 00:27:30,5250,355,5564
2017-07-07 00:28:00,3322,224,3545
2017-07-07 00:28:30,2922,140,2613
2017-07-07 00:29:00,3129,235,3362
2017-07-07 00:29:30,1738,131,1860
2017-07-07 00:30:00,6709,486,6955
2017-07-07 00:30:30,4578,575,5145
2017-07-07 00:31:00,3287,310,3597
2017-07-07 00:31:30,4177,237,4409
2017-07-07 00:32:00,4416,140,4552
2017-07-07 00:32:30,5340,158,5175
2017-07-07 00:33:00,5829,202,6026
2017-07-07 00:33:30,5232,263,5489
2017-07-07 00:34:00,2089,189,2245
2017-07-07 00:34:30,4313,183,4471
2017-07-07 00:35:00,4340,159,4499
2017-07-07 00:35:30,5372,190,5441
2017-07-07 00:36:00,2523,191,2685
2017-07-07 00:36:30,3693,146,3809
2017-07-07 00:37:00,5549,151,5691
2017-07-07 00:37:30,2045,146,2115
2017-07-07 00:38:00,2183,161,2337
2017-07-07 00:38:30,19466,429,19887
2017-07-07 00:39:00,33222,113,33333
2017-07-07 00:39:30,2035,102,2092
2017-07-07 00:40:00,2683,103,2771
2017-07-07 00:40:30,2812,104,2914
